rank_within_language,language,channel,channel_url,title,video_url,date,views,subs,duration_seconds,format,seriality,fit,ratio,view_ratio_score,data_completeness,hook,conflict,twist,ending,neighbor,quality,sources
1,en,The Land Of Boggs — https://www.youtube.com/@TheLandofBoggs,не найдено,Theme Park Speedrun,https://www.youtube.com/shorts/Gdo4zpnIj1g,2026-07-31,3200000,9810000,24,Shorts,"серийный анимационный формат The Land of Boggs с повторяющимися персонажами Boggo, Boe и третьим жёлтым персонажем; канал описывает проект как animated series about best friends Boggo and Boe",да,0.32619775739041795,0.0,8,"у ворот парка BOGLÜND трое героев ждут открытия; часы показывают 8:59, затем 9:00, ворота распахиваются, а сине-фиолетовый Boggo врывается внутрь на огромной скорости","Boggo пытается максимально быстро пройти все аттракционы и развлечения, тогда как Boe не выдерживает темп — его тошнит на горках, он измучен и едва успевает за другом","у водопада Boggo внезапно выпрыгивает из лодки, заметив место для фейерверка, оставляя Boe и жёлтого персонажа в лодке перед падением","ночью Boggo смотрит фейерверк и говорит «WHAT A GREAT DAY... RIGHT BOE?», пока обессиленный Boe лежит рядом лицом вниз",https://www.youtube.com/shorts/vS37cb6IToI,"высокое — заголовок, канал, подписчики, просмотры, формат и длительность подтверждены страницами YouTube/канала, сюжет проверен по анализу самого ролика, а дата 2026-07-31 дополнительно сверена с открытой публикацией канала; число просмотров округлено YouTube до 3.2M.",https://www.youtube.com/shorts/Gdo4zpnIj1g\nhttps://www.youtube.com/watch?v=Gdo4zpnIj1g\nhttps://www.youtube.com/@TheLandofBoggs\nhttps://www.youtube.com/@TheLandofBoggs/shorts\nhttps://www.facebook.com/thelandofboggs/videos/theme-park-speedrun/2115874946024335/\nhttps://www.youtube.com/shorts/vS37cb6IToI
2,en,"Cat Dog Diary (@CatDogDiary-6868), URL канала: https://www.youtube.com/@CatDogDiary-6868",https://www.youtube.com/@CatDogDiary-6868,My Terrified Rescue Kitten Finally Fell Asleep Beside My Rescue Puppy,https://www.youtube.com/watch?v=INn5wL1GF2Q,2026-08-10,425000,29500,195,другое,горизонтальный повторяемый эпизод о тех же повторяющихся персонажах — рыжем спасённом котёнке и коричневом щенке таксы,да,14.40677966101695,14.5,8,"в первые 1–3 секунды рыжий котёнок находится в серой лежанке, а коричневый щенок подходит, заглядывает внутрь и принюхивается к нему","щенок навязчиво пытается играть — запрыгивает в лежанку, кусает котёнка за уши и шею и наваливается на него, а котёнок отбивается и старается отстраниться","примерно на 01:36 котёнок выходит из лежанки, затем около 01:43 сам возвращается к спокойно лежащему щенку и начинает вылизывать ему голову, переводя взаимодействие от раздражения к заботе","котёнок и щенок мирно спят в обнимку в одной лежанке, лапа котёнка лежит на шее щенка",https://www.youtube.com/watch?v=4Ila9J5nl-M,"среднее — заголовок, канал, URL канала, дата, просмотры, подписчики, длительность и соседние эпизоды подтверждены открытой выдачей YouTube/канала и oEmbed, а сюжет подтверждён визуальным анализом ролика; прямая страница ролика в браузере была недоступна из-за антибот-проверки.",https://www.youtube.com/watch?v=INn5wL1GF2Q\nhttps://www.youtube.com/@CatDogDiary-6868/videos\nhttps://www.youtube.com/@CatDogDiary-6868\nhttps://www.youtube.com/oembed?url=https://www.youtube.com/watch?v=INn5wL1GF2Q&format=json\nhttps://www.youtube.com/watch?v=4Ila9J5nl-M
3,en,ANOMALY | Original Series (https://www.youtube.com/channel/UCuLQpgDf4hmB7UHBwKCTjmQ),не найдено,ANOMALY | EPISODE 2 | RAVEN,https://www.youtube.com/watch?v=L-ZHPlVa4do,2026-06-11,249263,76600,942,другое,"Серийный короткометражный эпизод антологии ANOMALY; повторяющаяся героиня/персонаж Amber и мотивы UAP, Men in Black, наблюдателей",да,3.2540861618798957,6.4,8,"На чёрном фоне сообщается, что с 1940-х годов свидетели НЛО заявляют о визитах таинственных «людей в чёрном»","Amber пытается понять последствия близкого контакта с НЛО в форме «Тик-Така», сталкиваясь с паранойей, слежкой загадочного мужчины в чёрном и страхом аномального опыта","После ночного эпизода с ярким светом, дымом и нечеловеческими парящими ногами Amber обнаруживает на смарт-часах данные о якобы подъёме более чем на 80000 футов; реальность события как похищения, кошмара или сонного паралича не подтверждена","Amber выбегает из дома и видит напротив чёрный автомобиль и того же «человека в чёрном», который пристально смотрит на неё",https://www.youtube.com/watch?v=Zs6UDYnmKZA,"среднее — заголовок, канал, дата, просмотры, подписчики, длительность и серийность подтверждены открытой страницей/индексом YouTube, а сюжетные поля дополнительно проверены анализом доступного видео; прямой URL YouTube в браузере временно перенаправлял на страницу ограничения трафика.",https://www.youtube.com/watch?v=L-ZHPlVa4do\nhttps://youtu.be/L-ZHPlVa4do?is=t0UDNxrWyLuTJ6Z5\nhttps://www.youtube.com/channel/UCuLQpgDf4hmB7UHBwKCTjmQ\nhttps://www.youtube.com/watch?v=Zs6UDYnmKZA\nhttps://www.youtube.com/watch?v=K7I3eiswbjs
4,en,Cat Dog Diary (URL канала: https://www.youtube.com/@CatDogDiary-6868),https://www.youtube.com/@CatDogDiary-6868),My Rescue Puppy Met Both Terrified Kittens Together for the First Time... Would They Get Along?,https://www.youtube.com/watch?v=-EfPwPNCNZo,2026-08-15,125962,29500,290,другое,да — повторяемый формат Cat Dog Diary о знакомстве/сближении спасённого щенка и напуганных котят; канал на момент проверки показывал около 383 видео и повторяющихся животных-персонажей,да,4.269898305084745,7.9,8,00:00–00:03 щенок резко запрыгивает в лежанку к двум котятам и сразу провоцирует активную возню,"щенок и два котёнка сначала взаимодействуют через шумную игру, беготню и борьбу, при этом заявленная интрига — смогут ли они поладить","примерно 01:48–03:26 активность спадает, животные устают, щенок ложится рядом с серым котёнком, а котёнок засыпает с игрушкой-рыбкой",примерно 03:27–04:51 все трое по очереди укладываются рядом и мирно засыпают вместе,https://www.youtube.com/watch?v=EjeIZGizXp8,"высокое — заголовок, канал, URL канала, дата, просмотры, подписчики, длительность и описание подтверждены открытой страницей YouTube/oEmbed и поисковой выдачей, а сюжетные поля дополнительно проверены покадровым анализом; прямой просмотр страницы был ограничен антибот-страницей, поэтому подписчики и просмотры зафиксированы как публичный срез на момент проверки.",https://www.youtube.com/watch?v=-EfPwPNCNZo\nhttps://www.youtube.com/oembed?url=https://www.youtube.com/watch?v=-EfPwPNCNZo&format=json\nhttps://www.youtube.com/@CatDogDiary-6868\nhttps://www.youtube.com/watch?v=EjeIZGizXp8\nhttps://www.youtube.com/watch?v=jRmmxfFGpvE
5,en,Matthew Raymond (URL канала: https://www.youtube.com/@MatthewRaymond),https://www.youtube.com/@MatthewRaymond),Happy Mother’s Day… sorry 😪💐,https://www.youtube.com/watch?v=wWWS1Cqlgz4,2026-05-10,74000,2950000,535,другое,"да — повторяющиеся персонажи и семейный формат Matthew Raymond: Matthew, Marjorie, Tyrone, Jayda/LaBoogie и бабушка",да,0.025084745762711864,0.0,8,"мужчина тревожно выглядывает из-за дверного косяка, за ним прячутся анимационные персонажи; он шёпотом спрашивает, где «она», и просит всех не испортить сюрприз","семья пытается устроить Марджори сюрприз на День матери, хотя она просила оставить её в покое и дать посмотреть телевизор, но каждая попытка превращается в катастрофу",самодельное массажное кресло на базе инвалидной коляски выходит из-под контроля и вместе с Марджори пробивает стену,"Марджори оказывается вверх ногами в проломе стены, а Тайрон невозмутимо включает ей желанный фильм и поздравляет с Днём матери",https://www.youtube.com/watch?v=2lAnVjcO3K4,"высокое — заголовок, канал, отображаемые просмотры и подписчики подтверждены страницей YouTube, дата и длительность сопоставлены с открытой выдачей по точному ID, сюжет проверен по самому ролику; точные неокруглённые счётчики YouTube публично не показаны.",https://www.youtube.com/watch?v=wWWS1Cqlgz4\nhttps://www.youtube.com/@MatthewRaymond\nhttps://www.youtube.com/watch?v=2lAnVjcO3K4\nhttps://www.youtube.com/watch?v=g1D_DLmQidM
6,en,Cat Dog Diary (URL канала: https://www.youtube.com/channel/UCmzO97ypyUKqA1pGEAzmmGA),https://www.youtube.com/channel/UCmzO97ypyUKqA1pGEAzmmGA),My Terrified Rescue Kitten Finally Did This Around My Rescue Puppy,https://www.youtube.com/watch?v=Zot2rVsMuBQ,2026-08-17,19443,29500,256,другое,"повторяющиеся персонажи — спасённый серый котёнок и спасённый щенок, а также несколько соседних роликов Cat Dog Diary с теми же героями/темой знакомства и привыкания",да,0.6590847457627118,0.0,8,в первые 1–3 секунды щенок подбегает к спокойно лежащему серому котёнку на лежанке и сразу начинает игривую борьбу,"щенок активно пристаёт и борется с котёнком, питомцы катаются, кусаются в игре и делят игрушки, при этом котёнок то отбивается, то перехватывает инициативу","примерно на 3:38 после долгой возни оба резко прекращают игру, щенок ложится на спину, а котёнок устраивается рядом","оба питомца успокаиваются и дремлют вместе, щенок на спине, котёнок рядом, крупный план мирного сна",https://www.youtube.com/watch?v=EjeIZGizXp8,"среднее — заголовок, канал, дата, длительность, просмотры, подписчики и описание подтверждены открытой страницей YouTube, сюжет — визуальным анализом ролика, но прямой странице на момент проверки показывалась verification dialog, а независимый трекер с полными метриками не найден.",https://www.youtube.com/watch?v=Zot2rVsMuBQ\nhttps://m.youtube.com/watch?v=Zot2rVsMuBQ\nhttps://www.youtube.com/channel/UCmzO97ypyUKqA1pGEAzmmGA\nhttps://www.youtube.com/@CatDogDiary-6868/videos\nhttps://www.youtube.com/watch?v=EjeIZGizXp8\nhttps://www.youtube.com/watch?v=wNDDoOrs-9Y\nhttps://www.youtube.com/watch?v=-EfPwPNCNZo
7,en,Matthew Raymond Extra (URL канала: https://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA),https://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA),Tyrone Becomes a Bad COP! 👮‍♂️ (GTA 5 Gameplay),https://www.youtube.com/watch?v=f6Fcisl3_eg,2026-07-21,17000,92900,1228,другое,серийный/повторяемый формат GTA 5 с повторяющимся персонажем Tyrone и мультяшным аватаром Matthew Raymond,да,0.18299246501614638,0.0,8,"в первые 1–3 секунды персонаж в красной футболке и камуфляжном жилете идёт по городской проезжей части, рядом проезжают полицейская и чёрная машины, внизу появляется мультяшный персонаж в полицейской фуражке","Tyrone пытается играть полицейского в GTA V, угоняет патрульные машины и останавливает водителей, но провоцирует хаос, перестрелки, полицейские преследования и смерти","единого сюжетного твиста не обнаружено — комедийная эскалация строится на повторяющихся неудачах, включая гибель от полиции, аварий, других игроков и взрыв собственной машины","герой стоит у кирпичной стены, закадровый голос просит комментировать и подписаться, затем появляется заставка Matthew Raymond",https://www.youtube.com/watch?v=YNiOqlkbk9M,"среднее — сюжет, язык, горизонтальный формат и длительность подтверждены анализом самого публичного видео, а дата, просмотры и подписчики взяты из открытых индексируемых страниц; прямая страница YouTube на момент проверки показывала антибот-блокировку.",https://www.youtube.com/watch?v=f6Fcisl3_eg\nhttps://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA\nhttps://www.youtube.com/watch?v=YNiOqlkbk9M\nhttps://www.youtube.com/c/MatthewRaymondExtra
8,en,Matthew Raymond Extra and Matthew Raymond (URL канала: https://www.youtube.com/@MatthewRaymondExtra),https://www.youtube.com/@MatthewRaymondExtra),Tyrone Delivers Pizza in GTA 5 (GETS JUMPED) 😂🎮,https://www.youtube.com/watch?v=F8FvKPi1kYs,2026-08-08,12165,94200,1170,другое,"Серийный повторяемый формат игрового/анимационного GTA-контента с постоянными персонажами Tyrone и авторским 2D-аватаром; канал описывает постоянных персонажей Matthew Raymond, Tyrone, LaBoogie, Jada и Marjorie, а соседние выпуски посвящены Tyrone в аналогичных игровых сюжетах",да,0.12914012738853503,0.0,8,"В первые 1–3 секунды показан прицел снайперской винтовки, выстрел мимо цели, мгновенная гибель персонажа со статусом «wasted» и реакция анимированного аватара","Два игрока в GTA V Online хаотично спорят, преследуют и убивают друг друга с применением оружия, взрывчатки и транспорта","Примерно с 14:23 перестрелка прекращается, и игроки переходят к соревнованию на скутерах по доставке пиццы на время","Во время гонки скутер врезается в чёрный внедорожник, персонаж продолжает движение, затем проваливает каскадёрский прыжок; ролик завершается логотипом «MATTHEW RAYMOND» и призывом подписаться",https://www.youtube.com/watch?v=YNiOqlkbk9M,"высокое — заголовок, канал, дата, просмотры, подписчики и длительность подтверждены страницей ролика/канала, соседний выпуск найден на странице канала, сюжетные поля проверены анализом самого видео; независимый трекер не использован.",https://www.youtube.com/watch?v=F8FvKPi1kYs\nhttps://www.youtube.com/@MatthewRaymondExtra\nhttps://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA/videos\nhttps://www.youtube.com/watch?v=YNiOqlkbk9M
9,en,"Matthew Raymond Extra (@MatthewRaymondExtra), URL канала: https://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA",https://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA,Tyrone Gets a Job! (GTA 5 Chaos😳),https://www.youtube.com/watch?v=YNiOqlkbk9M,2026-08-16,5300,94200,1043,другое,"да — повторяющийся персонаж Tyrone, постоянный мультяшный маскот и повторяющийся игровой/комедийный формат GTA",да,0.05626326963906582,0.0,8,"в первые 1–3 секунды лысый игровой персонаж в красной футболке и камуфляжном жилете бежит по дороге и наступает на кролика; присутствуют мультяшный маскот и краткий оверлей с лицом ведущего, закадровый голос сообщает о случившемся","Tyrone пытается выполнять игровые криминальные/рабочие задания, но игрок Jayden (Jayden_g15) преследует его, сбивает, расстреливает и срывает миссии","после серии неудач Tyrone решает оставить криминальные задания, переодевается пожарным, угоняет пожарную машину и пытается тушить горящие мусорные баки","мирная попытка также проваливается — Tyrone угоняет полицейский автомобиль, начинается погоня, NPC-полиция расстреливает машину, появляется «Wasted», затем следует призыв подписаться и брендированное аутро «MATTHEW RAYMOND»",https://www.youtube.com/watch?v=F8FvKPi1kYs,"высокое — заголовок, канал, дата, длительность, просмотры, подписчики и соседний эпизод подтверждены открытыми страницами YouTube; сюжетные поля дополнительно проверены просмотром ролика, а просмотры и подписчики указаны в округлённом публичном отображении YouTube.",https://www.youtube.com/watch?v=YNiOqlkbk9M\nhttps://www.youtube.com/channel/UCq4F5g76v_gU3ALL8ORXxEA/videos\nhttps://www.youtube.com/c/matthewraymondextra\nhttps://www.youtube.com/c/MatthewRaymond
10,en,"IRAYBS FILMS (@iraybsfilms), URL канала: https://www.youtube.com/channel/UCtzH0DiWCBfEF4EdydIDrmg",https://www.youtube.com/channel/UCtzH0DiWCBfEF4EdydIDrmg,FRIDAY THE 13TH IS HERE - PART 6 #horrorshort,https://www.youtube.com/shorts/ICLQvHQKpF0,2024-11-20,611,435,90,Shorts,"явно серийный хоррор-эпизод, часть 6 — в начале и конце есть заставки “START OF PART 6. FRIDAY THE 13TH.” и “END OF PART 6. FRIDAY THE 13TH.”; повторяющиеся персонажи/образы: мужчина в очках и фигура в хоккейной маске",да,1.4045977011494253,1.8,8,"стартовая заставка части 6, затем закадровая реплика о том, что тело Джейсона не достали из озера и он всё ещё где-то там","мужчина ночью сталкивается с фигурой в хоккейной маске, пытается скрыться в доме, но его находят и жестоко атакуют","кровавая сцена обрывается, мужчина просыпается в постели — это был кошмар","внезапный скример с демоническим лицом, красными глазами и зубастой улыбкой, после чего появляется финальная заставка части 6",https://www.youtube.com/shorts/kKCzLW8tgbk,"высокое — заголовок, канал, дата, длительность, просмотры, подписчики, Shorts-статус и соседний эпизод подтверждены открытыми страницами YouTube; сюжет подтверждён просмотром/анализом ролика, при этом страница ролика в браузере отображалась как временно недоступная.",https://www.youtube.com/shorts/ICLQvHQKpF0\nhttps://www.youtube.com/channel/UCtzH0DiWCBfEF4EdydIDrmg\nhttps://www.youtube.com/shorts/kKCzLW8tgbk
