language,channel,title,video_url,date,views,subs,ratio,velocity_day,group_cases,retention_proxy,viral_score_public,score_view_ratio,score_velocity,score_repeatability,score_retention,hook,conflict,ending,neighbor,quality
ru,"ИИ Сериалы (AI Series), URL канала: https://www.youtube.com/@Al-sEriesSS",2 серия Хроники потерянной секунды,https://www.youtube.com/watch?v=Bpg3oPMg9IM,не найдено,1700.0,17.0,100.0,,4,0.9714285714285714,74.6,25.0,0.0,20,14.571428571428571,"после короткой заставки мальчик Лео испуганно смотрит вверх, из чёрного дыма появляется гигантская теневая когтистая рука со светящимися шестерёнками, звучит реплика «А что это?!»","Лео неправильно повернул ключ карманных часов, не остановил время, а украл секунду и открыл дверь для голодной тёмной сущности Лорда Ноля","пол трескается, из разломов к часам тянутся чёрные руки, звучит угроза «Вор, верни время», затем клиффхэнгер «ПРОДОЛЖЕНИЕ СЛЕДУЕТ...»",https://www.youtube.com/shorts/oAHFV0URwZg,"среднее — заголовок, канал, подписчики, просмотры и длительность подтверждены открытыми страницами YouTube; точная дата публикации на доступном срезе не отображалась, а сюжетные поля проверены анализом доступного публичного видео."
ru,ИИ Сериалы (AI Series) — https://www.youtube.com/@Al-sEriesSS,Хроники потерянной секунды 1 серия,https://www.youtube.com/watch?v=oAHFV0URwZg,2026-04-29,1750.0,17.0,102.94117647058825,15.350877192982455,4,0.9714285714285714,72.6,25.0,3.033852641703725,20,14.571428571428571,"вертикальная заставка «Хроники потерянной секунды», «1 серия», затем мальчик-подросток и девочка Маи тянут друг у друга золотые карманные часы","Лео пытается забрать у Маи дедушкины часы, после чего бытовой спор переходит в мистическую угрозу","в дверном проёме появляется чёрный дымовой портал и гигантская когтистая рука из чёрной материи и часовых шестерёнок, звучит «Время вышло, вор...», затем титр «ПРОДОЛЖЕНИЕ СЛЕДУЕТ...»",https://www.youtube.com/shorts/Bpg3oPMg9IM,"высокое — заголовок, канал, URL канала, дата, точные просмотры и подписчики подтверждены публичными страницами YouTube; длительность не отображалась, поэтому отмечена как «не найдено»."
ru,"ИИ Сериалы (AI Series) (@Al-sEriesSS), URL канала: https://www.youtube.com/channel/UC3jiA7oD33682xW2T4AzbOQ",Ии сериал Хроники потерянной секунды:Обратный отсчёт 3 серия #shorts#3d#shortvideo#,https://www.youtube.com/watch?v=rwQpCR88ohM,не найдено,885.0,17.0,52.05882352941177,,4,0.9714285714285714,66.0,21.456179366494393,0.0,20,14.571428571428571,"в первые 1–3 секунды Лео держит светящиеся голубым светом карманные часы, а говорящий лисёнок обвиняет его в «украденной секунде»","Лео запускает механизм часов, начинается магическая катастрофа, Майя уменьшается, а в комнате появляется приближающийся силуэт рогатого монстра","дети и лисёнок остаются в темноте, звучит злодейский смех, экран гаснет с надписью «ПРОДОЛЖЕНИЕ СЛЕДУЕТ...»",https://www.youtube.com/shorts/Bpg3oPMg9IM,"среднее — название, канал, URL канала, просмотры, подписчики, серийность и соседний эпизод подтверждены открытыми страницами YouTube/oEmbed, длительность и сюжет — анализом самого видео, а дата публикации не была публично подтверждена."
en,"Cat Dog Diary (@CatDogDiary-6868), URL канала: https://www.youtube.com/@CatDogDiary-6868",My Terrified Rescue Kitten Finally Fell Asleep Beside My Rescue Puppy,https://www.youtube.com/watch?v=INn5wL1GF2Q,2026-08-10,425000.0,29500.0,14.40677966101695,38636.36363636364,6,0.12758,59.9,14.482086425901858,11.46751871327421,20,1.9137,"в первые 1–3 секунды рыжий котёнок находится в серой лежанке, а коричневый щенок подходит, заглядывает внутрь и принюхивается к нему","щенок навязчиво пытается играть — запрыгивает в лежанку, кусает котёнка за уши и шею и наваливается на него, а котёнок отбивается и старается отстраниться","котёнок и щенок мирно спят в обнимку в одной лежанке, лапа котёнка лежит на шее щенка",https://www.youtube.com/watch?v=4Ila9J5nl-M,"среднее — заголовок, канал, URL канала, дата, просмотры, подписчики, длительность и соседние эпизоды подтверждены открытой выдачей YouTube/канала и oEmbed, а сюжет подтверждён визуальным анализом ролика; прямая страница ролика в браузере была недоступна из-за антибот-проверки."
ru,Яндекс Go (https://www.youtube.com/@yandextaxi),Мини-сериал Алиса | S1E1 | Женщина за рулем,https://www.youtube.com/watch?v=HDnETOL-xJE,2020-04-16,324921.0,51800.0,6.2726061776061774,140.1729939603106,4,0.8716611114701728,58.4,9.968100267934311,5.374379063040045,20,13.074916672052591,"в первые 1–3 секунды наблюдаются чёрный экран, маркировка «12+» и логотипы, сюжетное действие начинается позднее","водительница Саша скрывает женскую идентичность под мужским образом, сталкиваясь с грубостью пассажира и гендерными стереотипами, а затем с конфликтом с Женей","Саша и Женя мирятся и целуются, Саша обращается к Алисе, после чего появляется сообщение Алисы «Я не буду на это смотреть!» и начинаются титры",https://www.youtube.com/watch?v=Btg5rD3AAqk,"высокое — метаданные, канал и серийность подтверждены открытой страницей YouTube и плейлистом, сюжетные поля дополнительно проверены анализом самого ролика, а независимый трекер не найден."
ru,Яндекс Go (URL канала: https://www.youtube.com/@yandextaxi),Мини-сериал Алиса | S1E2 | Машина юмора,https://www.youtube.com/watch?v=Btg5rD3AAqk,2020-04-16,283221.0,51800.0,5.467586872586873,122.18334771354615,4,0.8716611114701728,57.5,9.222446151481542,5.226380006484224,20,13.074916672052591,"в первые 1–3 секунды — чёрный экран с маркировкой «12+», затем логотипы Яндекс Такси, MEDIALAB, screenlife, BAZELEVS и SXSW 2020 Film Festival","водитель такси Егор, начинающий стендапер, оказывается остановлен полицейским, а его провокационные шутки обостряют ситуацию","Егор понимает, что стал жертвой розыгрыша собственного бортового ИИ, злится и угрожает судом, а Алиса иронизирует над ним; начинаются финальные титры",https://www.youtube.com/watch?v=nT20jRkkM9A,"высокое — заголовок, канал, URL канала, дата, просмотры, подписчики, длительность и серийность подтверждены открытыми страницами YouTube; сюжетные поля проверены по доступному анализу самого ролика, а точное число подписчиков и просмотров отражает публичный срез страницы на 21.08.2026."
ru,"Кристина Сейтягьяева (@КристинаСейтягьяева-з7х), URL канала: https://www.youtube.com/@КристинаСейтягьяева-з7х/shorts",Винни Пух день забот. 5 серия. Майнкрафт анимация. Animations Minecraft · @NAIZISHOW,https://www.youtube.com/shorts/NuzGHkMd8v0,2026-05-22,1200.0,5.0,240.0,13.186813186813186,1,,52.9,25.0,2.879712124863317,15,0.0,"в первые 1–3 секунды кот во дворе, стоя на задних лапах и опираясь передними на синий пластиковый бидон, засовывает голову в узкое горлышко; звучит русская реплика Винни-Пуха о чайной ложечке и пустом горшке","кот пытается исследовать содержимое бидона или достать что-то из него, удерживая неудобную позу","примерно на 30-й секунде кот снова вытаскивает голову, смотрит вправо, и ролик заканчивается",https://www.youtube.com/shorts/GwDQGQNwRo8,"среднее — заголовок, канал, дата, подписчики, просмотры, Shorts-статус и соседние URL подтверждены открытыми страницами YouTube, длительность и сюжет — визуальным анализом доступного ролика, но страница самого видео частично показывала Video unavailable и независимый трекер не найден."
en,Cat Dog Diary (URL канала: https://www.youtube.com/@CatDogDiary-6868),My Rescue Puppy Met Both Terrified Kittens Together for the First Time... Would They Get Along?,https://www.youtube.com/watch?v=-EfPwPNCNZo,2026-08-15,125962.0,29500.0,4.269898305084745,20993.666666666668,6,0.12758,52.6,7.880219146049135,10.805272459285753,20,1.9137,00:00–00:03 щенок резко запрыгивает в лежанку к двум котятам и сразу провоцирует активную возню,"щенок и два котёнка сначала взаимодействуют через шумную игру, беготню и борьбу, при этом заявленная интрига — смогут ли они поладить",примерно 03:27–04:51 все трое по очереди укладываются рядом и мирно засыпают вместе,https://www.youtube.com/watch?v=EjeIZGizXp8,"высокое — заголовок, канал, URL канала, дата, просмотры, подписчики, длительность и описание подтверждены открытой страницей YouTube/oEmbed и поисковой выдачей, а сюжетные поля дополнительно проверены покадровым анализом; прямой просмотр страницы был ограничен антибот-страницей, поэтому подписчики и просмотры зафиксированы как публичный срез на момент проверки."
en,The Land Of Boggs (URL канала: https://www.youtube.com/@TheLandofBoggs),The Coolest Coffee Order?!,https://www.youtube.com/shorts/OvBfS30UNn4,2026-08-07,5426416.0,9810000.0,0.5531514780835882,387601.14285714284,6,0.5319304675498524,51.9,0.0,13.970965423452364,20,7.978957013247786,"«Wanna grab coffee?» — приглашение выпить кофе, зафиксированное в открытом фрагменте описания/транскрипта",не найдено,не найдено,https://www.youtube.com/watch?v=jF6zrWs9IzY,"среднее — заголовок, канал, дата, просмотры и подписчики подтверждены открытой страницей YouTube на срез 21.08.2026, но ролик отображался как недоступный для воспроизведения, поэтому длительность и полный сюжет (конфликт, поворот, финал) не подтверждены."
en,The Land Of Boggs — https://www.youtube.com/@TheLandofBoggs,Theme Park Speedrun,https://www.youtube.com/shorts/Gdo4zpnIj1g,2026-07-31,3200000.0,9810000.0,0.3261977573904179,152380.95238095237,6,0.5319304675498524,50.9,0.0,12.957333834085432,20,7.978957013247786,"у ворот парка BOGLÜND трое героев ждут открытия; часы показывают 8:59, затем 9:00, ворота распахиваются, а сине-фиолетовый Boggo врывается внутрь на огромной скорости","Boggo пытается максимально быстро пройти все аттракционы и развлечения, тогда как Boe не выдерживает темп — его тошнит на горках, он измучен и едва успевает за другом","ночью Boggo смотрит фейерверк и говорит «WHAT A GREAT DAY... RIGHT BOE?», пока обессиленный Boe лежит рядом лицом вниз",https://www.youtube.com/shorts/vS37cb6IToI,"высокое — заголовок, канал, подписчики, просмотры, формат и длительность подтверждены страницами YouTube/канала, сюжет проверен по анализу самого ролика, а дата 2026-07-31 дополнительно сверена с открытой публикацией канала; число просмотров округлено YouTube до 3.2M."
