Subject,Проверенная запись,Источники,Качество проверки,Error
https://www.youtube.com/shorts/1UT2lpAxDrs,"Канал: Vigloo - Premiere Short Dramas (@ViglooOfficial), URL канала: https://www.youtube.com/@ViglooOfficial; Язык: en; Заголовок: Under the Hood Trailer | Vigloo Premiere Short Dramas; Дата: 2025-07-22; Просмотры: не найдено; Подписчики: не найдено; Длительность_с: не найдено; Тип: Shorts; Серийность: Трейлер вертикальной мини-драмы Under the Hood; официальный материал указывает 51 эпизод, а связанный YouTube-ролик — сборник Ep.1-9; повторяющиеся персонажи: Selene Beaumont, Jaxon Knoxwood и Victor Beaumont; Подходит: да; Хук: ночная вывеска, затем блондинка говорит, что не думала вернуться сюда снова, после чего появляется мужчина с голым торсом; Конфликт: Selene пытается выйти из токсичного брака, но муж заявляет, что она юридически всё ещё принадлежит ему; её защищает механик Jaxon, возникает любовный треугольник и противостояние с мужем; Поворот: Selene объявляет, что разрушит империю Beaumont, а Jaxon говорит, что завершит начатое его отцом и вернёт украденное; конфликт переходит в физические стычки; Финал: Selene и Jaxon страстно целуются в гараже, затем появляются название Under the Hood и рекламный экран Vigloo; Соседний эпизод: https://www.youtube.com/watch?v=0COj7geIAN8",https://www.youtube.com/shorts/1UT2lpAxDrs\nhttps://www.youtube.com/@ViglooOfficial\nhttps://www.youtube.com/@ViglooOfficial/shorts\nhttps://www.youtube.com/watch?v=0COj7geIAN8\nhttps://vigloo-blog.com/under-the-hood/,"среднее — заголовок, канал, дату, формат Shorts, серийность и сюжет подтверждены прямой страницей, поисковой выдачей, официальным каналом и страницей сериала, но YouTube пометил исходный Shorts как недоступный, поэтому просмотры, точное число подписчиков и длительность не опубликованы для проверки.",
https://www.youtube.com/shorts/4oe_vjoQz2k,"Канал: Marlycoal Comedy (@marlycoalcomedy), URL канала: https://www.youtube.com/@marlycoalcomedy; Язык: en; Заголовок: 🎬ENGLAND GRAMMAR SCHOOL is now Showing on YOUTUBE #comedy #grammarschools #english; Дата: не найдено; Просмотры: не найдено; Подписчики: 214000; Длительность_с: 60; Тип: Shorts; Серийность: да — ролик промо/фрагмент повторяемой комедийной вселенной ENGLAND GRAMMAR SCHOOL; на странице указан связанный Episode 1, а на канале и в открытом поиске обнаружен Episode 2; повторяющиеся персонажи/актерский состав в школьной сцене наблюдаемы, но имена не подтверждены; Подходит: да; Хук: учитель в школьном классе заявляет, что покажет, как приветствовать учителя, сразу используя намеренно исковерканный английский; Конфликт: комедийный абсурд — учитель обучает класс неправильной фразе-приветствию, а ученики энтузиастично повторяют её; Поворот: не найдено — действие линейно развивается как демонстрация и коллективное повторение; Финал: ученики продолжают скандировать неправильное приветствие, затем примерно с 0:55 появляется промо-заставка ENGLAND GRAMMAR SCHOOL / Marlycoal Comedy; Соседний эпизод: https://www.youtube.com/watch?v=hURbRAXVzvQ",https://www.youtube.com/shorts/4oe_vjoQz2k\nhttps://www.youtube.com/@marlycoalcomedy/shorts\nhttps://www.youtube.com/watch?v=dUIeREBqYoY\nhttps://www.youtube.com/watch?v=hURbRAXVzvQ\nhttps://www.youtube.com/hashtag/englandgrammarschool,"среднее — заголовок, канал, тип, подписчики, длительность, серийность и сюжет подтверждены прямой страницей/профилем и анализом доступного видео, но исходная страница показывает Video unavailable, поэтому дата и просмотры Shorts публично не подтверждены.",
https://www.youtube.com/shorts/6VVS5uNMM_s,"Канал: DRM English Dubbed (@drmenglishdubbed), URL канала: https://www.youtube.com/@drmenglishdubbed; Язык: en; Заголовок: He Couldn't Stop Falling For Her 😍❤️ | Threads of Love | G1536; Дата: 2026-08-06; Просмотры: не найдено; Подписчики: не найдено; Длительность_с: не найдено; Тип: Shorts; Серийность: Threads of Love — серийная драматическая франшиза с повторяющимся обозначением G1536; открытый плейлист канала содержит последовательные полнометражные эпизоды Threads of Love/Kaleerein, но принадлежность именно этого Shorts к конкретному номеру полнометражного эпизода не подтверждена; Подходит: да; Хук: не найдено — ролик недоступен для просмотра; Конфликт: не найдено — ролик недоступен для просмотра; Поворот: не найдено — ролик недоступен для просмотра; Финал: не найдено — ролик недоступен для просмотра; Соседний эпизод: https://www.youtube.com/watch?v=yK4q4J1u9Kg&list=PLMfuIStZNE0tY5DukuaEzUQz8oFU9VWnA&index=1&pp=iAQB",https://www.youtube.com/shorts/6VVS5uNMM_s\nhttps://www.youtube.com/@drmenglishdubbed\nhttps://www.youtube.com/playlist?list=PLMfuIStZNE0tY5DukuaEzUQz8oFU9VWnA\nhttps://www.youtube.com/watch?v=yK4q4J1u9Kg&list=PLMfuIStZNE0tY5DukuaEzUQz8oFU9VWnA&index=1&pp=iAQB,"среднее — заголовок, канал, тип Shorts, дата из открытой выдачи и серийность франшизы подтверждены, но сама страница показывает Video unavailable, поэтому просмотры, точные подписчики, длительность и сюжетные детали недоступны.",
https://www.youtube.com/shorts/789tS0TT1BY,"Канал: BATEK_OFFICIAL (@batek_official9120), URL канала: https://www.youtube.com/@batek_official9120/shorts; Язык: ru; Заголовок: БАТЯ И ЗАНАЧКА😂 #shorts; Дата: не найдено; Просмотры: не найдено; Подписчики: 8850000; Длительность_с: не найдено; Тип: Shorts; Серийность: повторяющийся формат «БАТЯ/ТВОЙ БАТЯ» с повторяющимся персонажем и множеством тематически сходных Shorts на канале; Подходит: да; Хук: не найдено; Конфликт: не найдено; Поворот: не найдено; Финал: не найдено; Соседний эпизод: https://www.youtube.com/shorts/XgKOwXY5FPE",https://www.youtube.com/shorts/789tS0TT1BY\nhttps://www.youtube.com/@batek_official9120/shorts\nhttps://www.youtube.com/shorts/XgKOwXY5FPE\nhttps://www.youtube.com/shorts/wQCeLuaOXtA\nhttps://www.youtube.com/shorts/3TlENdDmSO8,"среднее — заголовок, канал, URL канала, публичное число подписчиков, тип Shorts и повторяемый формат подтверждены YouTube, но сам ролик на срез проверки недоступен, поэтому дата, просмотры, длительность и сюжетные поля не подтверждены.",
https://www.youtube.com/shorts/7MKC47cFxis,"Канал: SilverPeak (@SilverPeak15), URL канала: https://www.youtube.com/@SilverPeak15/shorts; Язык: ru; Заголовок: РАБОТЯГА СПАС АВТОРИТЕТУ ЖИЗНЬ😨😨😨 #shorts #фильмы #сериал #криминал #кино; Дата: не найдено; Просмотры: не найдено; Подписчики: не найдено; Длительность_с: не найдено; Тип: Shorts; Серийность: в заголовке есть маркеры «#сериал» и «#кино»; на странице канала опубликована повторяющаяся линейка коротких роликов с общей пометкой «Жизнь по вызову» и повторяющимися персонажами/актёрами, однако принадлежность именно ролика 7MKC47cFxis к конкретной части и номер эпизода не подтверждены; Подходит: да; Хук: не найдено — ролик на момент проверки недоступен; Конфликт: не найдено — ролик на момент проверки недоступен; Поворот: не найдено — ролик на момент проверки недоступен; Финал: не найдено — ролик на момент проверки недоступен; Соседний эпизод: https://www.youtube.com/shorts/hjNnDnuoNCA",https://www.youtube.com/shorts/7MKC47cFxis\nhttps://www.youtube.com/@SilverPeak15/shorts\nhttps://www.youtube.com/shorts/hjNnDnuoNCA,"среднее — заголовок, канал, тип Shorts и серийный контекст подтверждены прямыми страницами YouTube, но исходный ролик недоступен, поэтому дата, просмотры, точное число подписчиков, длительность и сюжетные элементы не подтверждены.",
https://www.youtube.com/shorts/7bODUoNZf7Q,"Канал: SbignMation (https://www.youtube.com/@sbignmation); Язык: en; Заголовок: STEVE.exe - Part 2 | Minecraft Animation; Дата: 2026-08-20; Просмотры: не найдено; Подписчики: 49; Длительность_с: 15; Тип: Shorts; Серийность: серийный ролик, часть 2 из серии STEVE.exe; на канале публично видны Part 1, Part 2 и Part 3, повторяющиеся персонажи/образы Minecraft, включая красного человечка, зомби и Херобрина; Подходит: да; Хук: в первые 1–3 секунды красный человечек сражается с двумя зомби в лесу Minecraft и ударом ноги отбрасывает одного из них; Конфликт: отлетевший зомби приземляется в кусты, превращается в Херобрина и возвращается с синей магической аурой; Поворот: Херобрин возвращается, бьёт красного человечка и второго зомби, отправляя второго в полёт; Финал: Херобрин начинает серию быстрых ударов по красному человечку, после чего появляется надпись «SUB OR SMASH» с сердечками; Соседний эпизод: https://www.youtube.com/shorts/ePNjeTEjnik",https://www.youtube.com/shorts/7bODUoNZf7Q\nhttps://www.youtube.com/@sbignmation\nhttps://www.youtube.com/shorts/ePNjeTEjnik\nhttps://www.youtube.com/shorts/kRqooW0BfFk,"высокое — заголовок, канал, подписчики, дата и серийность подтверждены публичными страницами YouTube; точное число просмотров и иные неотображённые поля не подставлялись.",
https://www.youtube.com/shorts/7n26BWkG5sQ,"Канал: Vigloo - Premiere Short Dramas (@ViglooOfficial), URL канала: https://www.youtube.com/@ViglooOfficial; Язык: en; Заголовок: Good Girl Gone Bad Trailer | Vigloo Premiere Short Dramas; Дата: 2025-08-21; Просмотры: не найдено; Подписчики: 649000; Длительность_с: не найдено; Тип: Shorts; Серийность: трейлер вертикальной мини-драмы Good Girl Gone Bad; официальная связанная публикация обозначена как Ep.1-15; повторяющиеся персонажи: профессор Madeline Shaw и Knox Adams; Подходит: да; Хук: не найдено — воспроизведение ролика на прямой странице недоступно, доступна только публичная аннотация; Конфликт: профессор Madeline Shaw живёт по правилам, а Knox Adams выдаёт себя за студента, хотя является миллиардером-CEO на тайной миссии по поиску предателя; Поворот: раскрывается скрытая личность Knox Adams и то, что романтическое притяжение связано с опасной миссией; Финал: не найдено — финал именно этого трейлера публично не наблюдался из-за недоступности воспроизведения; Соседний эпизод: https://www.youtube.com/watch?v=eKr-B9YRbQc",https://www.youtube.com/shorts/7n26BWkG5sQ\nhttps://www.youtube.com/oembed?url=https://www.youtube.com/shorts/7n26BWkG5sQ&format=json\nhttps://www.youtube.com/watch?v=eKr-B9YRbQc\nhttps://www.youtube.com/@ViglooOfficial/shorts\nhttps://www.vigloo.com/en/content/15000343\nhttps://i-love-verticals.com/reviews/good-girl-gone-bad/\nhttps://www.imdb.com/title/tt38036306/,"среднее — заголовок, ID, канал, тип, дата и серийность подтверждены прямой страницей/YouTube oEmbed и официальными либо независимыми описаниями, но просмотры, длительность и покадровые детали хука и финала недоступны из-за недоступного воспроизведения.",
https://www.youtube.com/shorts/81SYX7yF2go,"Канал: The Land Of Boggs (https://www.youtube.com/@TheLandofBoggs); Язык: en; Заголовок: Only a vegetable can heal me; Дата: 2026-08-14; Просмотры: 2572952; Подписчики: не найдено; Длительность_с: 13; Тип: Shorts; Серийность: повторяемая анимационная серия The Land Of Boggs с постоянными персонажами Boggo и Boe; в данном ролике визуально наблюдается один главный оранжевый персонаж, похожий на Boe; Подходит: да; Хук: персонаж лежит лицом вниз среди мусора, пустых стаканов и коробок от пиццы, выглядит тяжело больным и стонет; Конфликт: герой страдает от сильного недомогания и ползёт к куче мусора, где на разделочной доске лежат свежие овощи; Поворот: после укуса моркови он мгновенно «исцеляется» — появляются лучи из глаз, левитация, блестящий розовый фон и гиперболически счастливое лицо; Финал: герой сидит на чистом красном диване, говорит, что чувствует себя намного лучше, но снова ест вредные чипсы; Соседний эпизод: https://www.youtube.com/shorts/qYCONY6yy-Y",https://www.youtube.com/shorts/81SYX7yF2go\nhttps://www.youtube.com/@TheLandofBoggs\nhttps://www.facebook.com/thelandofboggs/videos/only-a-vegetable-can-heal-me/1739806383898955/\nhttps://www.tiktok.com/@thelandofboggs/video/7673963947644472589\nhttps://www.youtube.com/shorts/qYCONY6yy-Y,"высокое — заголовок, канал, дата, просмотры и длительность извлечены из публичных данных YouTube; сюжет подтверждён визуальным анализом доступного видео и кросс-постом Facebook, а точное число подписчиков не указано, поскольку публично отображается только округлённое значение 9.81M.",
https://www.youtube.com/shorts/929qM3w4cl8,"Канал: TS X USA (@TSXUSA), URL канала: https://www.youtube.com/@TSXUSA; Язык: en; Заголовок: The Secret Roblox Game Disappeared... 😨 | Roblox Horror Story Part 2 #shorts; Дата: 2026-07-28; Просмотры: не найдено; Подписчики: 54; Длительность_с: не найдено; Тип: Shorts; Серийность: Part 2, повторяемая Roblox horror story; Подходит: да; Хук: не найдено; Конфликт: после обнаружения секретной двери игрок оказывается единственным оставшимся на сервере; Поворот: появляется пугающее сообщение «Don't look behind you»; Финал: не найдено; Соседний эпизод: https://www.youtube.com/shorts/TFgT4Zn0Fac",https://www.youtube.com/shorts/929qM3w4cl8\nhttps://www.youtube.com/watch?v=929qM3w4cl8\nhttps://www.youtube.com/@TSXUSA\nhttps://www.youtube.com/shorts/TFgT4Zn0Fac,"среднее — заголовок, канал, публичные подписчики, серийность, дата и соседний эпизод подтверждены открытыми страницами YouTube; точное число просмотров, длительность и первые 1–3 секунды недоступны из-за недоступного плеера и антибот-проверки.",
https://www.youtube.com/shorts/CpDVNcaHse4,"Канал: Kinigra Deon (@KinigraDeon), URL канала: https://www.youtube.com/@KinigraDeon; Язык: en; Заголовок: When The boy you love betrays you 💔 #kinigradeon; Дата: не найдено; Просмотры: не найдено; Подписчики: 6,050,000; Длительность_с: не найдено; Тип: Shorts; Серийность: вертикальный тизер/отрывок, ведущий на полнометражный эпизод «BOYFRIEND FOR SALE 🤑 | “Love For A Price”| Kinigra Deon»; в кадре два персонажа — девушка с косичками и парень с афро-прической; номер эпизода не найдено; Подходит: да; Хук: девушка сразу требует от парня ответа: «Мой брат заплатил тебе? Да или нет»; Конфликт: девушка считает, что парень общается с ней только из-за денег её брата, обвиняет его в предательстве и перебивает попытки объясниться; Поворот: она заявляет, что больше не будет тратить на него время, показывает средний палец с кольцом в виде часов и уходит; Финал: парень остаётся один и говорит, что ему не дали поговорить; затем появляется призыв посмотреть полное видео и изображение с надписью «Купи парня» (Buy a Boyfriend); Соседний эпизод: https://www.youtube.com/watch?v=Ri_ogs2aPs0",https://www.youtube.com/shorts/CpDVNcaHse4\nhttps://www.youtube.com/@KinigraDeon\nhttps://www.youtube.com/watch?v=Ri_ogs2aPs0,"среднее — заголовок, канал, язык, тип Shorts, подписчики, сюжет и ссылка на полный соседний материал подтверждены публичными страницами и видеоанализом, но дата публикации, точные просмотры и длительность недоступны из-за публичного статуса страницы «Video unavailable».",
